Duration,Name,compatibility_threshold,dataset,generations,max_conns,max_nodes,pop_size,seed,species_size,survival_threshold,elite_rmse,elite_size,final_model_test_rmse,final_model_train_rmse,iteration_time,test_rmse,train_rmse
5.4min,tensorneat:ld50:seed-26,2.5,ld50,1000,626,627,100,26,10,0.2,2588.172363,591,2457.618652,2588.172363,0.6152775288,2478.405762,2588.172363
5.3min,tensorneat:ld50:seed-25,2.5,ld50,1000,626,627,100,25,10,0.2,2652.731934,591,2175.370605,2652.731934,0.599891901,2180.819092,2652.731934
5.4min,tensorneat:ld50:seed-24,2.5,ld50,1000,626,627,100,24,10,0.2,2600.500488,583,2399.331299,2600.500732,0.6009681225,2399.331299,2600.500732
5.3min,tensorneat:ld50:seed-23,2.5,ld50,1000,626,627,100,23,10,0.2,2529.359863,593,2692.614746,2529.360107,0.5977721214,2699.446533,2529.360107
5.3min,tensorneat:ld50:seed-22,2.5,ld50,1000,626,627,100,22,10,0.2,2490.855225,604,2785.801758,2490.855225,0.600726366,2851.127441,2490.855225
8.5min,tensorneat:ld50:seed-21,2.5,ld50,1000,626,627,100,21,10,0.2,2551.611328,584,2625.072998,2551.611328,0.5962667465,2625.072998,2551.611328
5.3min,tensorneat:ld50:seed-20,2.5,ld50,1000,626,627,100,20,10,0.2,2506.847412,582,2790.616699,2506.847412,0.5982911587,2790.616699,2506.847412
5.3min,tensorneat:ld50:seed-19,2.5,ld50,1000,626,627,100,19,10,0.2,2673.502197,596,2048.726318,2673.502197,0.594861269,2049.54248,2673.502197
5.2min,tensorneat:ld50:seed-18,2.5,ld50,1000,626,627,100,18,10,0.2,2611.314697,592,2391.749756,2611.314697,0.5881152153,2399.662109,2611.314697
5.2min,tensorneat:ld50:seed-17,2.5,ld50,1000,626,627,100,17,10,0.2,2702.613281,593,1842.195801,2702.613281,0.591562748,1872.336304,2702.613281
5.2min,tensorneat:ld50:seed-16,2.5,ld50,1000,626,627,100,16,10,0.2,2466.755127,595,2911.708008,2466.755371,0.5868241787,2931.274902,2466.755371
5.2min,tensorneat:ld50:seed-15,2.5,ld50,1000,626,627,100,15,10,0.2,2514.925781,590,2748.605957,2514.926025,0.580732584,2754.632813,2514.926025
5.1min,tensorneat:ld50:seed-14,2.5,ld50,1000,626,627,100,14,10,0.2,2532.633057,593,2675.887939,2532.633301,0.5767316818,2683.147217,2532.633301
5.1min,tensorneat:ld50:seed-13,2.5,ld50,1000,626,627,100,13,10,0.2,2553.318359,589,2594.402832,2553.318359,0.5736377239,2613.806396,2553.318359
4.9min,tensorneat:ld50:seed-12,2.5,ld50,1000,626,627,100,12,10,0.2,2538.11377,597,2691.974121,2538.11377,0.5672771931,2695.516602,2538.11377
4.8min,tensorneat:ld50:seed-11,2.5,ld50,1000,626,627,100,11,10,0.2,2398.082764,595,3172.598633,2398.082764,0.5475273132,3174.320557,2398.082764
5.3min,tensorneat:ld50:seed-9,2.5,ld50,1000,626,627,100,9,10,0.2,2467.554688,595,2923.827393,2467.555176,0.6133723259,2925.245361,2467.555176
5.3min,tensorneat:ld50:seed-8,2.5,ld50,1000,626,627,100,8,10,0.2,2573.716553,593,2539.179932,2573.716797,0.5931465626,2546.804932,2573.716797
5.2min,tensorneat:ld50:seed-7,2.5,ld50,1000,626,627,100,7,10,0.2,2584.521973,586,2517.097168,2584.521973,0.5914268494,2536.796143,2584.521973
5.2min,tensorneat:ld50:seed-6,2.5,ld50,1000,626,627,100,6,10,0.2,2611.055908,594,2326.192627,2611.055908,0.5956838131,2352.584473,2611.055908
5.3min,tensorneat:ld50:seed-5,2.5,ld50,1000,626,627,100,5,10,0.2,2446.13623,591,3003.08667,2446.13623,0.5876941681,3010.414307,2446.13623
5.2min,tensorneat:ld50:seed-4,2.5,ld50,1000,626,627,100,4,10,0.2,2506.089844,597,2742.594238,2506.089844,0.6216087341,2800.100342,2506.089844
5.1min,tensorneat:ld50:seed-3,2.5,ld50,1000,626,627,100,3,10,0.2,2560.783447,597,2574.690186,2560.783691,0.5793232918,2589.875,2560.783691
5.1min,tensorneat:ld50:seed-2,2.5,ld50,1000,626,627,100,2,10,0.2,2671.759033,597,2027.450439,2671.759277,0.5720591545,2041.548462,2671.759277
5.0min,tensorneat:ld50:seed-1,2.5,ld50,1000,626,627,100,1,10,0.2,2580.950195,597,2423.144287,2580.950195,0.5775885582,2482.51416,2580.950195
4.8min,tensorneat:ld50:seed-0,2.5,ld50,1000,626,627,100,0,10,0.2,2570.022949,588,2525.483398,2570.022949,0.5498869419,2536.552979,2570.022949