Name,dataset,max_conns,max_nodes,seed,elite_length,elite_size,test_rmse,train_rmse
tensorneat:bioav:seed-0,bioav,241,242,0,19,208,145.3409424,58.19176483
tensorneat:bioav:seed-1,bioav,241,242,1,17,208,102.1470261,61.3621521
tensorneat:bioav:seed-10,bioav,241,242,10,22,216,101.7801819,61.19802094
tensorneat:bioav:seed-11,bioav,241,242,11,25,211,107.0571213,60.12587357
tensorneat:bioav:seed-12,bioav,241,242,12,16,205,133.71138,60.15556717
tensorneat:bioav:seed-13,bioav,241,242,13,21,215,95.7297821,62.53892517
tensorneat:bioav:seed-14,bioav,241,242,14,24,208,132.2812805,60.19116592
tensorneat:bioav:seed-15,bioav,241,242,15,25,205,117.0286789,58.8598671
tensorneat:bioav:seed-16,bioav,241,242,16,14,211,98.57711029,60.80768204
tensorneat:bioav:seed-17,bioav,241,242,17,23,214,93.19789886,62.54079056
tensorneat:bioav:seed-18,bioav,241,242,18,18,213,87.762146,63.42277908
tensorneat:bioav:seed-19,bioav,241,242,19,21,212,103.5742569,60.83658218
tensorneat:bioav:seed-2,bioav,241,242,2,11,215,103.5432358,60.05545807
tensorneat:bioav:seed-20,bioav,241,242,20,10,219,133.7695618,60.37306595
tensorneat:bioav:seed-20,bioav,241,242,20,24,219,133.7695618,60.37306595
tensorneat:bioav:seed-21,bioav,241,242,21,13,216,95.11765289,62.38845062
tensorneat:bioav:seed-21,bioav,241,242,21,13,216,95.11765289,62.38845062
tensorneat:bioav:seed-22,bioav,241,242,22,17,221,92.37947845,61.60368729
tensorneat:bioav:seed-22,bioav,241,242,22,23,221,92.37947845,61.60368729
tensorneat:bioav:seed-23,bioav,241,242,23,11,219,106.1457901,60.68410873
tensorneat:bioav:seed-24,bioav,241,242,24,14,213,93.70515442,62.03215027
tensorneat:bioav:seed-25,bioav,241,242,25,24,219,85.52876282,63.60447693
tensorneat:bioav:seed-26,bioav,241,242,26,10,203,92.01745605,61.90941238
tensorneat:bioav:seed-27,bioav,241,242,27,20,214,93.9441452,61.82437134
tensorneat:bioav:seed-28,bioav,241,242,28,18,206,100.9502792,60.978405
tensorneat:bioav:seed-29,bioav,241,242,29,18,212,103.8097992,61.16043091
tensorneat:bioav:seed-3,bioav,241,242,3,23,212,124.8806381,60.49300385
tensorneat:bioav:seed-30,bioav,241,242,30,10,221,106.0598831,60.57961655
tensorneat:bioav:seed-31,bioav,241,242,31,21,210,131.6698608,60.28205872
tensorneat:bioav:seed-32,bioav,241,242,32,13,204,108.5556107,61.11072922
tensorneat:bioav:seed-33,bioav,241,242,33,20,202,104.8068314,60.37712097
tensorneat:bioav:seed-34,bioav,241,242,34,16,225,108.7664108,60.507267
tensorneat:bioav:seed-35,bioav,241,242,35,18,213,90.49429321,62.74476242
tensorneat:bioav:seed-36,bioav,241,242,36,24,217,94.35327911,62.5138588
tensorneat:bioav:seed-37,bioav,241,242,37,18,207,146.4432068,58.55927277
tensorneat:bioav:seed-38,bioav,241,242,38,10,217,94.36917114,61.94830704
tensorneat:bioav:seed-39,bioav,241,242,39,19,214,92.34479523,62.11508179
tensorneat:bioav:seed-4,bioav,241,242,4,14,221,120.3842087,61.50246429
tensorneat:bioav:seed-40,bioav,241,242,40,16,216,100.1724396,61.84418869
tensorneat:bioav:seed-41,bioav,241,242,41,20,206,97.38478851,62.03276062
tensorneat:bioav:seed-42,bioav,241,242,42,10,216,94.89413452,62.69346237
tensorneat:bioav:seed-43,bioav,241,242,43,18,210,95.65949249,62.45357513
tensorneat:bioav:seed-44,bioav,241,242,44,24,207,94.54833221,61.74078369